Unnamed: 0,fullback,team,minutes_played,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation,matches_played,full_match_equivalent,overlap_inversion_ci,final_third_entries_ci,defensive_performance_ci,ball_progression_ci,chance_creation_ci,composite_score,competition_id,season_id,cluster
466,Pedro Miguel Almeida Lopes Pereira,Sampdoria,660.87,8.6,9.3,7.7,9.3,8.0,9,7.3,0.03,0.03,0.02,0.02,0.0,8.58,12,27,0
422,Nathan Aké,Netherlands,384.98,8.8,8.8,8.8,8.8,7.6,5,4.3,0.04,0.04,0.03,0.03,0.0,8.56,55,282,0
122,Daniel Pavlovic,Frosinone,1522.77,9.2,8.1,7.9,8.3,9.3,17,16.9,0.03,0.03,0.02,0.02,0.0,8.56,12,27,0
311,Jules Koundé,France,408.85,8.8,8.8,8.8,8.8,7.6,5,4.5,0.03,0.03,0.02,0.02,0.0,8.56,43,106,0
174,Eros Pisano,Hellas Verona,2279.63,8.5,7.9,8.5,8.6,9.3,25,25.3,0.03,0.03,0.02,0.02,0.0,8.56,12,27,0
54,Andrei Florin Ratiu,Romania,361.97,8.7,8.8,8.8,8.8,7.7,4,4.0,0.04,0.04,0.03,0.03,0.0,8.56,55,282,0
387,Mattia Cassani,Sampdoria,1049.52,8.5,9.2,7.9,9.3,7.9,14,11.7,0.03,0.03,0.02,0.02,0.0,8.56,12,27,0
359,Marc Cucurella Saseta,Spain,462.92,8.8,8.8,8.0,8.8,8.4,5,5.1,0.04,0.04,0.03,0.03,0.0,8.56,55,282,0
323,Laureano Bisan-Etame Mayer,Arsenal,1871.65,8.7,8.7,7.9,8.7,8.7,21,20.8,0.03,0.03,0.02,0.02,0.0,8.54,2,44,0
164,Elseid Hysaj,Napoli,2878.58,8.5,9.3,8.9,8.7,7.3,32,32.0,0.03,0.03,0.02,0.02,0.0,8.54,12,27,0
218,Gaël Clichy,Arsenal,382.92,8.7,8.7,8.7,8.7,7.9,5,4.3,0.03,0.03,0.02,0.02,0.0,8.54,2,44,0
487,Riccardo Gagliolo,Carpi,522.9,9.1,8.1,8.4,8.3,8.8,6,5.8,0.03,0.03,0.02,0.02,0.0,8.54,12,27,0
65,Antonio Rüdiger,AS Roma,470.9,8.7,9.3,9.1,8.8,6.8,5,5.2,0.03,0.03,0.02,0.02,0.0,8.54,12,27,0
447,Odilon Kossonou,Bayer Leverkusen,285.95,8.5,8.6,8.6,8.6,8.4,3,3.2,0.03,0.04,0.03,0.02,0.0,8.54,9,281,0
187,Faouzi Ghoulam,Napoli,2505.6,9.2,9.3,7.6,8.9,7.6,29,27.8,0.03,0.03,0.02,0.02,0.0,8.52,12,27,0
40,Aljaž Struna,Palermo,1016.8,8.4,8.6,7.4,9.2,9.0,12,11.3,0.03,0.03,0.02,0.02,0.0,8.52,12,27,0
351,Luke Shaw,England,346.93,8.8,8.8,7.7,8.5,8.7,4,3.9,0.03,0.03,0.02,0.02,0.0,8.5,43,106,0
549,Vasco Regini,Sampdoria,849.88,9.1,9.1,8.4,9.2,6.7,10,9.4,0.03,0.03,0.02,0.02,0.0,8.5,12,27,0
485,Ricardo Iván Rodríguez Araya,Switzerland,374.93,8.8,8.8,7.7,8.4,8.8,4,4.2,0.03,0.03,0.02,0.02,0.0,8.5,43,106,0
580,Óscar Mingueza García,Barcelona,374.93,8.6,8.6,8.6,8.6,8.1,6,4.2,0.03,0.04,0.03,0.03,0.0,8.5,11,90,0
421,Nahuel Molina Lucero,Argentina,490.82,8.8,8.8,8.1,8.8,7.9,6,5.5,0.03,0.03,0.02,0.02,0.0,8.48,43,106,0
506,Sergino Dest,Barcelona,812.63,8.6,8.6,8.6,7.9,8.6,12,9.0,0.03,0.04,0.03,0.03,0.0,8.46,11,90,0
30,Alex Ferrari,Bologna,1001.18,8.5,8.6,8.6,8.9,7.7,16,11.1,0.03,0.03,0.02,0.02,0.0,8.46,12,27,0
139,Davide Santon,Inter Milan,728.62,8.5,8.7,7.9,9.0,8.2,9,8.1,0.03,0.03,0.02,0.02,0.0,8.46,12,27,0
10,Adam Masina,Bologna,1975.57,9.2,8.3,8.2,8.3,8.3,23,22.0,0.03,0.03,0.02,0.02,0.0,8.46,12,27,0
21,Alejandro Grimaldo García,Bayer Leverkusen,546.88,8.6,8.6,7.9,8.6,8.6,6,6.1,0.03,0.04,0.03,0.02,0.0,8.46,9,281,0
51,Andrea Masiello,Atalanta,1534.68,8.4,8.3,8.8,8.7,8.0,19,17.1,0.03,0.03,0.02,0.02,0.0,8.44,12,27,0
305,Juan Bernat Velasco,Paris Saint-Germain,717.95,8.6,8.6,7.8,8.6,8.6,10,8.0,0.04,0.04,0.03,0.03,0.0,8.44,7,108,0
366,Marcos Alonso Mendoza,Fiorentina,777.77,9.3,7.7,7.6,8.5,9.1,10,8.6,0.03,0.03,0.02,0.02,0.0,8.44,12,27,0
384,Matteo Ciofani,Frosinone,910.83,8.4,8.7,7.8,9.2,8.0,13,10.1,0.03,0.03,0.02,0.02,0.0,8.42,12,27,0
137,Davide Brivio,Atalanta,748.78,9.2,8.7,7.5,9.3,7.3,9,8.3,0.03,0.03,0.02,0.02,0.0,8.4,12,27,0
110,Cristian Daniel Ansaldi,Genoa,417.93,8.9,8.4,7.3,8.8,8.6,5,4.6,0.03,0.03,0.02,0.02,0.0,8.4,12,27,0
126,Danilo D''Ambrosio,Inter Milan,1204.78,8.6,8.4,8.9,8.6,7.5,15,13.4,0.03,0.03,0.02,0.02,0.0,8.4,12,27,0
292,Josip Juranović,Croatia,424.92,8.8,8.8,7.1,8.5,8.8,4,4.7,0.03,0.03,0.02,0.02,0.0,8.4,43,106,0
212,Gabriel Moisés Antunes da Silva,Carpi,564.82,9.2,7.9,7.2,8.6,9.1,10,6.3,0.03,0.03,0.02,0.02,0.0,8.4,12,27,0
519,Stephan Lichtsteiner,Juventus,501.67,8.5,8.8,8.1,8.5,8.1,7,5.6,0.03,0.03,0.02,0.02,0.0,8.4,12,27,0
357,Manuel Pasqual,Fiorentina,561.87,9.3,8.2,8.4,7.2,8.8,7,6.2,0.03,0.03,0.02,0.02,0.0,8.38,12,27,0
571,Yuto Nagatomo,Inter Milan,1499.35,8.8,8.6,8.1,9.0,7.4,19,16.7,0.03,0.03,0.02,0.02,0.0,8.38,12,27,0
19,Aleandro Rosi,Frosinone,2004.43,8.4,8.3,7.7,8.9,8.6,23,22.3,0.03,0.03,0.02,0.02,0.0,8.38,12,27,0
221,Gianpaolo Bellini,Atalanta,870.85,8.7,9.3,7.6,9.3,7.0,13,9.7,0.03,0.03,0.02,0.02,0.0,8.38,12,27,0
241,Ibrahima Mbaye,Bologna,527.93,8.6,8.7,8.4,9.2,6.8,7,5.9,0.03,0.03,0.02,0.02,0.0,8.34,12,27,0
502,Saud Abdullah Abdul Hamid,Saudi Arabia,292.95,8.4,8.6,7.1,8.8,8.8,3,3.3,0.03,0.03,0.02,0.02,0.0,8.34,43,106,0
195,Ferdi Erenay Kadıoğlu,Turkey,375.92,8.8,7.9,8.1,7.9,8.8,4,4.2,0.04,0.04,0.03,0.03,0.0,8.3,55,282,0
583,Šime Vrsaljko,Sassuolo,2297.6,8.4,8.7,7.5,8.5,8.3,26,25.5,0.03,0.03,0.02,0.02,0.0,8.28,12,27,0
500,Samuel Souprayen,Hellas Verona,1124.6,9.3,7.8,8.0,7.8,8.5,14,12.5,0.03,0.03,0.02,0.02,0.0,8.28,12,27,0
254,Iván Rodrigo Piris Leguizamón,Udinese,570.75,8.6,8.4,9.3,7.8,7.3,7,6.3,0.03,0.03,0.02,0.02,0.0,8.28,12,27,0
427,Nenad Tomović,Fiorentina,559.9,8.5,8.6,8.8,8.5,6.9,7,6.2,0.03,0.03,0.02,0.02,0.0,8.26,12,27,0
339,Lucas Digne,AS Roma,2663.48,9.2,8.5,7.5,7.9,8.2,30,29.6,0.03,0.03,0.02,0.02,0.0,8.26,12,27,0
184,Facundo Sebastián Roncaglia,Fiorentina,1082.8,8.6,8.7,8.8,8.6,6.6,12,12.0,0.03,0.03,0.02,0.02,0.0,8.26,12,27,0
394,Maximilian Mittelstädt,Germany,313.95,8.8,8.2,7.9,7.6,8.8,4,3.5,0.04,0.04,0.03,0.03,0.0,8.26,55,282,0
308,Juan Guilherme Nunes Jesus,Inter Milan,507.93,9.2,7.8,8.0,8.5,7.7,6,5.6,0.03,0.03,0.02,0.02,0.0,8.24,12,27,0
128,Danilo Luiz da Silva,Brazil,285.97,8.4,8.8,7.5,8.7,7.8,3,3.2,0.03,0.03,0.02,0.02,0.0,8.24,43,106,0
402,Michelangelo Albertazzi,Hellas Verona,388.8,9.3,7.9,7.0,8.2,8.7,6,4.3,0.03,0.03,0.02,0.02,0.0,8.22,12,27,0
360,Marcello Gazzola,Sassuolo,430.85,8.6,8.7,7.0,9.3,7.5,6,4.8,0.03,0.03,0.02,0.02,0.0,8.22,12,27,0
492,Roberto Crivello,Frosinone,1341.72,9.2,7.9,7.6,8.5,7.8,15,14.9,0.03,0.03,0.02,0.02,0.0,8.2,12,27,0
433,Nicolás Alejandro Tagliafico,Argentina,359.87,8.8,7.6,8.8,7.7,8.1,5,4.0,0.03,0.03,0.02,0.02,0.0,8.2,43,106,0
417,Moon-Hwan Kim,South Korea,290.93,8.0,8.2,8.7,8.5,7.6,3,3.2,0.03,0.03,0.02,0.02,0.0,8.2,43,106,0
115,Cristian Zaccardo,Carpi,905.65,8.6,8.1,8.0,7.7,8.6,10,10.1,0.03,0.03,0.02,0.02,0.0,8.2,12,27,0
103,Christian Maggio,Napoli,404.92,8.4,8.7,7.8,8.4,7.6,5,4.5,0.03,0.03,0.02,0.02,0.0,8.18,12,27,0
4,Abdoulay Konko,Lazio,1103.82,8.7,7.8,8.4,7.9,8.1,13,12.3,0.03,0.03,0.02,0.02,0.0,8.18,12,27,0
154,Dušan Basta,Lazio,1634.68,8.5,8.3,8.6,7.9,7.6,20,18.2,0.03,0.03,0.02,0.02,0.0,8.18,12,27,0
532,Thilo Kehrer,Paris Saint-Germain,606.87,8.6,8.6,8.5,7.0,8.1,11,6.7,0.04,0.04,0.03,0.03,0.0,8.16,7,108,0
554,Vincent Laurini,Empoli,1477.4,8.4,8.6,8.0,8.8,6.9,18,16.4,0.03,0.03,0.02,0.02,0.0,8.14,12,27,0
39,Alistair Johnston,Canada,279.95,7.9,8.5,7.6,8.6,8.1,3,3.1,0.03,0.03,0.02,0.02,0.0,8.14,43,106,0
160,Edson Braafheid,Lazio,295.88,8.3,8.5,8.7,7.6,7.5,4,3.3,0.03,0.03,0.02,0.02,0.0,8.12,12,27,0
551,Vassilis Torosidis,AS Roma,576.68,8.7,8.7,6.6,9.0,7.6,9,6.4,0.03,0.03,0.02,0.02,0.0,8.12,12,27,0
578,Éder Gabriel Militão,Brazil,262.97,7.8,8.5,8.8,8.1,7.4,3,2.9,0.03,0.03,0.02,0.02,0.0,8.12,43,106,0
365,Marco Zambelli,Empoli,1115.67,8.5,8.2,7.9,8.2,7.7,15,12.4,0.03,0.03,0.02,0.02,0.0,8.1,12,27,0
76,Bartosz Bereszyński,Poland,257.97,8.2,7.7,8.8,8.6,7.2,3,2.9,0.03,0.03,0.02,0.02,0.0,8.1,43,106,0
183,Fabrizio Poli,Carpi,435.9,8.9,8.0,7.8,7.5,8.1,5,4.8,0.03,0.03,0.02,0.02,0.0,8.06,12,27,0
368,Marcos Javier Acuña,Argentina,259.97,8.3,7.6,6.7,8.8,8.8,4,2.9,0.03,0.03,0.02,0.02,0.0,8.04,43,106,0
68,Armando Izzo,Genoa,359.95,8.7,7.2,9.3,7.4,7.5,5,4.0,0.03,0.03,0.02,0.02,0.0,8.02,12,27,0
428,Ngoran Suiru Fai Collins,Cameroon,279.97,7.9,8.0,8.4,8.0,7.8,3,3.1,0.03,0.03,0.02,0.02,0.0,8.02,43,106,0
463,Patricio Gabarrón Gil,Lazio,555.92,8.4,9.3,7.0,8.4,7.0,7,6.2,0.03,0.03,0.02,0.02,0.0,8.02,12,27,0
146,Denzel Dumfries,Netherlands,371.93,8.5,7.2,8.8,7.1,8.4,4,4.1,0.04,0.04,0.03,0.03,0.0,8.0,55,282,0
479,Raphaël Adelino José Guerreiro,Portugal,300.93,8.8,7.9,6.0,8.8,8.4,4,3.3,0.03,0.03,0.02,0.02,0.0,7.98,43,106,0
60,Antonee Robinson,United States,285.95,8.6,7.7,7.2,8.3,8.0,3,3.2,0.03,0.03,0.02,0.02,0.0,7.96,43,106,0
568,Youssouf Sabaly,Senegal,287.93,8.1,7.5,7.9,8.2,8.0,3,3.2,0.03,0.03,0.02,0.02,0.0,7.94,43,106,0
546,Urby Emanuelson,Hellas Verona,271.98,8.2,8.5,6.7,9.0,7.3,3,3.0,0.03,0.03,0.02,0.02,0.0,7.94,12,27,0
328,Lorenzo De Silvestri,Sampdoria,556.9,8.5,8.1,7.4,8.0,7.7,7,6.2,0.03,0.03,0.02,0.02,0.0,7.94,12,27,0
336,Luca Rossettini,Bologna,1077.83,8.5,7.5,8.3,7.1,8.2,12,12.0,0.03,0.03,0.02,0.02,0.0,7.92,12,27,0
432,Nicolas Sebastian Frey,Chievo,1323.65,8.4,8.1,6.2,8.0,8.7,17,14.7,0.03,0.03,0.02,0.02,0.0,7.88,12,27,0
250,Ivan Perišić,Croatia,305.95,8.8,6.6,8.8,6.4,8.8,3,3.4,0.03,0.03,0.02,0.02,0.0,7.88,43,106,0
441,Nouhou Tolo,Cameroon,279.92,8.5,8.4,7.6,7.7,7.2,3,3.1,0.03,0.03,0.02,0.02,0.0,7.88,43,106,0
74,Aziz Eraltay Behich,Australia,289.93,8.7,7.9,8.8,7.3,6.7,3,3.2,0.03,0.03,0.02,0.02,0.0,7.88,43,106,0
295,José Diogo Dalot Teixeira,Portugal,265.92,7.7,7.9,7.7,7.8,8.2,3,3.0,0.03,0.03,0.02,0.02,0.0,7.86,43,106,0
321,Kyle Walker,England,298.97,7.9,7.7,8.4,8.1,7.1,3,3.3,0.04,0.04,0.03,0.03,0.0,7.84,55,282,0
50,Andrea Conti,Atalanta,347.92,8.4,8.3,7.6,7.5,7.4,5,3.9,0.03,0.03,0.02,0.02,0.0,7.84,12,27,0
135,David Raum,Germany,243.98,8.2,7.3,7.1,7.6,8.8,3,2.7,0.03,0.03,0.02,0.02,0.0,7.8,43,106,0
66,Archimede Morleo,Bologna,310.98,8.6,6.9,7.5,7.5,8.5,4,3.5,0.03,0.03,0.02,0.02,0.0,7.8,12,27,0
6,Abdul Rahman Baba,Ghana,196.97,7.5,6.8,8.8,7.1,8.7,2,2.2,0.03,0.03,0.02,0.02,0.0,7.78,43,106,0
230,Guillermo Varela Olivera,Uruguay,197.93,7.1,7.8,8.4,7.7,7.9,2,2.2,0.03,0.03,0.02,0.02,0.0,7.78,43,106,0
517,Stefan Posch,Austria,286.95,7.9,7.5,7.9,7.1,8.2,3,3.2,0.04,0.04,0.03,0.03,0.0,7.72,55,282,0
331,Luca Bittante,Empoli,353.42,8.3,7.4,7.1,7.8,8.0,10,3.9,0.03,0.03,0.02,0.02,0.0,7.72,12,27,0
271,Jin-Su Kim,South Korea,243.93,8.1,7.5,6.9,7.2,8.8,3,2.7,0.03,0.03,0.02,0.02,0.0,7.7,43,106,0
474,Presnel Kimpembe,Paris Saint-Germain,207.9,7.5,7.6,8.0,8.1,7.3,3,2.3,0.04,0.04,0.03,0.03,0.0,7.7,7,108,0
378,Martín Montoya Torralbo,Inter Milan,261.97,7.4,7.8,7.2,8.4,7.6,3,2.9,0.03,0.03,0.02,0.02,0.0,7.68,12,27,0
84,Birger Meling,Rennes,182.95,7.2,7.0,8.6,7.3,8.3,2,2.0,0.04,0.04,0.03,0.03,0.0,7.68,7,108,0
389,Matty Cash,Poland,272.98,7.9,7.3,7.4,7.5,8.0,3,3.0,0.03,0.03,0.02,0.02,0.0,7.62,43,106,0
472,Piero Martín Hincapié Reyna,Bayer Leverkusen,264.8,8.6,8.0,6.8,7.7,7.0,5,2.9,0.03,0.04,0.03,0.02,0.0,7.62,9,281,0
301,José Ángel Valdés Díaz,Eibar,184.97,8.0,7.0,7.4,6.9,8.6,2,2.1,0.03,0.03,0.02,0.02,0.0,7.58,11,4,0
156,Dávid Hancko,Slovakia,279.97,8.3,7.4,7.1,6.9,8.1,3,3.1,0.04,0.04,0.03,0.03,0.0,7.56,55,282,0
435,Nicușor Silviu Bancu,Romania,268.97,8.2,7.5,6.8,7.7,7.5,3,3.0,0.04,0.04,0.03,0.03,0.0,7.54,55,282,0
251,Ivan Strinić,Napoli,252.97,7.8,8.1,8.4,7.0,6.4,5,2.8,0.03,0.03,0.02,0.02,0.0,7.54,12,27,0
234,Houboulang Mendes,Lorient,181.97,6.9,7.8,7.7,7.7,7.6,2,2.0,0.04,0.04,0.03,0.03,0.0,7.54,7,108,0
274,John Arne Semundseth Riise,Liverpool,183.97,7.2,7.0,8.7,6.2,8.6,2,2.0,0.03,0.03,0.02,0.02,0.0,7.54,2,44,0
453,Omar Haktab Traorè,FC Heidenheim,185.97,7.3,7.2,7.2,8.2,7.8,2,2.1,0.03,0.04,0.03,0.02,0.0,7.54,9,281,0
226,Giuseppe Pezzella,Palermo,260.97,7.9,7.3,6.7,8.1,7.7,3,2.9,0.03,0.03,0.02,0.02,0.0,7.54,12,27,0
22,Alejandro Moreno Lopera,Real Betis,187.97,7.3,7.1,8.0,8.4,6.8,2,2.1,0.03,0.04,0.03,0.03,0.0,7.52,11,90,0
312,Julian Ryerson,Borussia Dortmund,185.97,7.7,8.2,8.1,6.7,6.9,2,2.1,0.03,0.04,0.03,0.02,0.0,7.52,9,281,0
373,Marius Wolf,Borussia Dortmund,148.97,6.9,6.8,8.5,7.4,8.0,2,1.7,0.03,0.04,0.03,0.02,0.0,7.52,9,281,0
88,Borna Sosa,Croatia,252.97,8.2,7.4,7.6,6.9,7.5,3,2.8,0.03,0.03,0.02,0.02,0.0,7.52,43,106,0
114,Cristian Raimondi,Atalanta,293.9,7.9,7.9,7.5,7.5,6.6,7,3.3,0.03,0.03,0.02,0.02,0.0,7.48,12,27,0
161,Eduardo Camavinga,France,179.97,7.3,7.9,7.4,8.0,6.8,2,2.0,0.03,0.03,0.02,0.02,0.0,7.48,43,106,0
75,Bafodé Diakité,Lille,153.0,7.0,8.0,7.5,8.3,6.4,2,1.7,0.03,0.04,0.03,0.03,0.0,7.44,7,235,0
478,Ramin Rezaeian,Iran,200.97,7.0,7.1,7.9,6.9,8.3,2,2.2,0.03,0.03,0.02,0.02,0.0,7.44,43,106,0
415,Mohamed Youssouf,AC Ajaccio,176.98,7.3,7.9,7.7,7.5,6.7,2,2.0,0.03,0.04,0.03,0.03,0.0,7.42,7,235,0
116,Cristiano Piccini,Valencia,178.98,7.2,7.9,8.2,7.4,6.4,2,2.0,0.03,0.03,0.02,0.02,0.0,7.42,11,4,0
514,Simone Padoin,Juventus,269.97,7.3,7.7,6.7,8.5,6.8,3,3.0,0.03,0.03,0.02,0.02,0.0,7.4,12,27,0
243,Ignacio Vidal Miralles,Osasuna,178.9,6.8,6.4,8.4,7.4,7.9,2,2.0,0.03,0.04,0.03,0.03,0.0,7.38,11,90,0
231,Hamari Traoré,Rennes,191.97,7.0,7.1,7.8,7.1,7.9,2,2.1,0.04,0.04,0.03,0.03,0.0,7.38,7,108,0
77,Ben Davies,Wales,254.97,8.2,7.6,7.0,7.4,6.7,3,2.8,0.03,0.03,0.02,0.02,0.0,7.38,43,106,0
489,Ridle Bote Baku,Wolfsburg,182.98,7.3,6.6,8.1,6.3,8.6,2,2.0,0.03,0.04,0.03,0.02,0.0,7.38,9,281,0
555,Vincent Le Goff,Lorient,180.9,7.2,6.6,8.5,7.0,7.4,2,2.0,0.04,0.04,0.03,0.03,0.0,7.34,7,108,0
371,Mario Mitaj,Albania,285.95,8.3,8.2,7.0,7.0,6.1,3,3.2,0.04,0.04,0.03,0.03,0.0,7.32,55,282,0
386,Matthias Bader,Darmstadt 98,186.97,7.4,6.6,8.1,7.0,7.3,2,2.1,0.03,0.04,0.03,0.02,0.0,7.28,9,281,0
450,Oleksandr Zinchenko,Ukraine,183.95,7.3,6.9,8.0,6.9,7.2,2,2.0,0.04,0.04,0.03,0.03,0.0,7.26,55,282,0
298,José Luis Gayà Peña,Valencia,166.0,7.0,6.1,8.2,7.2,7.6,2,1.8,0.03,0.04,0.03,0.03,0.0,7.22,11,90,0
480,Rasmus Carstensen,FC Köln,180.93,7.3,6.1,7.4,8.0,7.2,2,2.0,0.03,0.04,0.03,0.02,0.0,7.2,9,281,0
32,Alex Sandro Lobo Silva,Brazil,195.95,7.4,7.7,6.7,7.5,6.7,3,2.2,0.03,0.03,0.02,0.02,0.0,7.2,43,106,0
400,Michael Tarnat,Manchester City,188.97,7.2,6.4,7.3,6.3,8.7,2,2.1,0.03,0.03,0.02,0.02,0.0,7.18,2,44,0
165,Emerson Aparecido Leite de Souza Junior,Real Betis,186.95,6.9,6.6,8.1,7.5,6.8,2,2.1,0.03,0.04,0.03,0.03,0.0,7.18,11,90,0
170,Emir Karic,Darmstadt 98,158.97,7.3,7.1,7.4,7.4,6.7,2,1.8,0.03,0.04,0.03,0.02,0.0,7.18,9,281,0
46,Ander Capa Rodríguez,Athletic Club,174.97,6.8,6.9,8.0,7.9,6.3,2,1.9,0.03,0.04,0.03,0.03,0.0,7.18,11,90,0
